pick_id,source_id,network,station,location,channel,timestamp,year,month,day,doy,hour,minute,second,microsecond,phase,evaluation_mode,onset,polarity,uncertainty,backazimuth,contributor
1893933,uw61815141,UW,SHW,--,HHZ,1644113699.730000,2022,2,6,37,2,14,59,730000,P,manual,im,un,0.060,72.538,UW
1893727,uw61815151,UW,SHW,--,HHZ,1644114688.850000,2022,2,6,37,2,31,28,850000,P,manual,em,un,0.150,279.673,UW
1893483,uw61815186,UW,SHW,--,HHZ,1644138236.770000,2022,2,6,37,9,3,56,770000,P,manual,em,un,0.150,280.703,UW
1893629,uw61815216,UW,SHW,--,HHZ,1644157308.280000,2022,2,6,37,14,21,48,280000,P,manual,im,ne,0.030,85.576,UW
1893198,uw61815221,UW,SHW,--,HHZ,1644159621.750000,2022,2,6,37,15,0,21,750000,P,manual,im,un,0.060,85.311,UW
1893199,uw61815221,UW,SHW,--,HHN,1644159622.930000,2022,2,6,37,15,0,22,930000,S,manual,im,un,0.060,85.311,UW
1893386,uw61815251,UW,SHW,--,HHZ,1644174642.180000,2022,2,6,37,19,10,42,180000,P,manual,em,un,0.150,81.476,UW
